noc_2021,aioe,caioe,groupmean,noc_title,exposure_level,comp_level,quadrant,label
22211,6.425401608,4.708391511,0.615555556,Industrial designers,High Exposure,High Complementarity,HE-HC,NA
22212,6.43860866,5.184226028,0.543134921,Drafting technologists and technicians,High Exposure,Low Complementarity,HE-LC,NA
22213,6.123320702,4.670732958,0.585555556,Land survey technologists and technicians,High Exposure,Low Complementarity,HE-LC,NA
22214,6.410887506,5.117388913,0.550555556,Technical occupations in geomatics and meteorology,High Exposure,Low Complementarity,HE-LC,NA
22220,6.46098082,5.08742883,0.561041667,Computer network and web technicians,High Exposure,Low Complementarity,HE-LC,NA
22221,6.072101685,4.547017228,0.598611111,User support technicians,High Exposure,Low Complementarity,HE-LC,User support technicians
22222,6.584672242,5.254934264,0.550277778,Information systems testing technicians,High Exposure,Low Complementarity,HE-LC,NA
22230,5.922356876,4.396602514,0.605833333,Non-destructive testers and inspectors,Low Exposure,Low Complementarity,LE-LC,NA
22231,5.923692386,4.051855669,0.66375,Engineering inspectors and regulatory officers,Low Exposure,High Complementarity,LE-HC,NA
22232,6.495117106,4.520532399,0.651805556,Occupational health and safety specialists,High Exposure,High Complementarity,HE-HC,NA
22233,6.201742964,4.23441228,0.665555556,Construction inspectors,High Exposure,High Complementarity,HE-HC,NA
22300,6.334761929,4.793328554,0.591388889,Civil engineering technologists and technicians,High Exposure,Low Complementarity,HE-LC,NA
22301,5.980606607,4.326422679,0.624814815,Mechanical engineering technologists and technicians,High Exposure,High Complementarity,HE-HC,NA
22302,6.309841231,4.627216903,0.615,Industrial engineering and manufacturing technologists and technicians,High Exposure,High Complementarity,HE-HC,NA
22303,6.671857031,5.255940705,0.560555556,Construction estimators,High Exposure,Low Complementarity,HE-LC,NA
22310,6.181654365,4.53810689,0.61412037,Electrical and electronics engineering technologists and technicians,High Exposure,High Complementarity,HE-HC,NA
22311,5.793745084,4.000438539,0.658472222,Electronic service technicians (household and business equipment),Low Exposure,High Complementarity,LE-HC,NA
22312,5.924871962,4.175646898,0.640925926,Industrial instrument technicians and mechanics,Low Exposure,High Complementarity,LE-HC,NA
22313,5.968914526,4.402508656,0.611111111,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",Low Exposure,Low Complementarity,LE-LC,NA
30010,6.660997535,5.178236984,0.57125,Managers in health care,High Exposure,Low Complementarity,HE-LC,NA
31100,6.3362572,3.714613111,0.763002137,Specialists in clinical and laboratory medicine,High Exposure,High Complementarity,HE-HC,NA
31101,6.278439261,3.856972106,0.733125,Specialists in surgery,High Exposure,High Complementarity,HE-HC,Surgeons
31102,6.492166218,3.8379599,0.757361111,General practitioners and family physicians,High Exposure,High Complementarity,HE-HC,NA
31103,6.017719406,3.45851707,0.773611111,Veterinarians,High Exposure,High Complementarity,HE-HC,NA
31110,5.988550633,3.307854735,0.796111111,Dentists,High Exposure,High Complementarity,HE-HC,NA
31111,6.30295576,3.970862129,0.718333333,Optometrists,High Exposure,High Complementarity,HE-HC,NA
31112,6.494087008,4.20228669,0.701111111,Audiologists and speech-language pathologists,High Exposure,High Complementarity,HE-HC,NA
31120,6.313195205,3.975559314,0.718611111,Pharmacists,High Exposure,High Complementarity,HE-HC,NA
31121,6.504914839,4.400512307,0.672083333,Dietitians and nutritionists,High Exposure,High Complementarity,HE-HC,NA
31200,6.658392216,4.73540152,0.637111111,Psychologists,High Exposure,High Complementarity,HE-HC,NA
31201,5.948406252,3.559129741,0.75,Chiropractors,Low Exposure,High Complementarity,LE-HC,Chiropractors
31202,5.863692719,3.348820064,0.777222222,Physiotherapists,Low Exposure,High Complementarity,LE-HC,NA
31203,6.139053132,3.749677744,0.7375,Occupational therapists,High Exposure,High Complementarity,HE-HC,NA
31204,6.133306638,4.020612444,0.692916667,Kinesiologists and other professional occupations in therapy and assessment,High Exposure,High Complementarity,HE-HC,NA
31209,6.041861689,4.28340382,0.638269231,Other professional occupations in health diagnosing and treating,High Exposure,High Complementarity,HE-HC,NA
31300,6.380558513,5.162935263,0.539166667,Nursing coordinators and supervisors,High Exposure,Low Complementarity,HE-LC,NA
31301,6.163441229,3.897713837,0.716468254,Registered nurses and registered psychiatric nurses,High Exposure,High Complementarity,HE-HC,NA
31302,6.145852755,3.739490892,0.739861111,Nurse practitioners,High Exposure,High Complementarity,HE-HC,NA
31303,6.287033885,4.184435401,0.683156566,"Physician assistants, midwives and allied health professionals",High Exposure,High Complementarity,HE-HC,NA
32100,6.12878838,4.572757108,0.602222222,Opticians,High Exposure,Low Complementarity,HE-LC,NA
32101,5.8134515,4.137239651,0.636666667,Licensed practical nurses,Low Exposure,High Complementarity,LE-HC,Nurses
32102,5.660511188,3.746943934,0.686388889,Paramedical occupations,Low Exposure,High Complementarity,LE-HC,NA
32103,6.039097481,3.997363532,0.685694444,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",High Exposure,High Complementarity,HE-HC,NA
32104,6.165838578,4.202505626,0.664722222,Animal health technologists and veterinary technicians,High Exposure,High Complementarity,HE-HC,NA
32109,5.939528393,4.401509341,0.60770202,Other technical occupations in therapy and assessment,Low Exposure,Low Complementarity,LE-LC,NA
32110,5.95284375,3.282331901,0.796944444,Denturists,Low Exposure,High Complementarity,LE-HC,NA
32111,5.813774578,4.455612239,0.581944444,Dental hygienists and dental therapists,Low Exposure,Low Complementarity,LE-LC,NA
32112,5.960452914,4.938897511,0.519722222,Dental technologists and technicians,Low Exposure,Low Complementarity,LE-LC,NA
32120,6.08286021,4.471122727,0.613373016,Medical laboratory technologists,High Exposure,High Complementarity,HE-HC,NA
32121,5.917956965,4.264981415,0.627638889,Medical radiation technologists,Low Exposure,High Complementarity,LE-HC,NA
32122,5.915555518,4.525399971,0.583333333,Medical sonographers,Low Exposure,Low Complementarity,LE-LC,NA
32123,5.993582458,4.355336586,0.621666667,Cardiology technologists and electrophysiological diagnostic technologists,High Exposure,High Complementarity,HE-HC,NA
32124,5.93628949,4.01564535,0.671111111,Pharmacy technicians,Low Exposure,High Complementarity,LE-HC,NA
32129,5.93628949,4.01564535,0.671111111,Other medical technologists and technicians,Low Exposure,High Complementarity,LE-HC,NA
32200,6.295661264,4.005230736,0.7125,Traditional Chinese medicine practitioners and acupuncturists,High Exposure,High Complementarity,HE-HC,NA
32201,5.374356796,4.124818841,0.580833333,Massage therapists,Low Exposure,Low Complementarity,LE-LC,NA
32209,6.295661264,4.005230736,0.7125,Other practitioners of natural healing,High Exposure,High Complementarity,HE-HC,NA
33100,5.900693731,4.56082782,0.575972222,Dental assistants and dental laboratory assistants,Low Exposure,Low Complementarity,LE-LC,NA
33101,5.9432616,4.45765162,0.598611111,Medical laboratory assistants and related technical occupations,Low Exposure,Low Complementarity,LE-LC,NA
33102,5.809991435,4.428981618,0.587301587,"Nurse aides, orderlies and patient service associates",Low Exposure,Low Complementarity,LE-LC,NA
33103,5.884879628,4.329769151,0.611979167,Pharmacy technical assistants and pharmacy assistants,Low Exposure,Low Complementarity,LE-LC,NA
33109,6.014574201,4.546902734,0.592373737,Other assisting occupations in support of health services,High Exposure,Low Complementarity,HE-LC,NA
40010,6.471193881,4.415844889,0.667407407,Government managers - health and social policy development and program administration,High Exposure,High Complementarity,HE-HC,NA
40011,6.471193881,4.415844889,0.667407407,"Government managers - economic analysis, policy development and program administration",High Exposure,High Complementarity,HE-HC,NA
40012,6.471193881,4.415844889,0.667407407,Government managers - education policy development and program administration,High Exposure,High Complementarity,HE-HC,NA
40019,6.577161363,4.702029001,0.634675926,Other managers in public administration,High Exposure,High Complementarity,HE-HC,NA
40020,6.693199791,4.376608974,0.694444444,Administrators - post-secondary education and vocational training,High Exposure,High Complementarity,HE-HC,NA
40021,6.45982616,3.792548433,0.761111111,School principals and administrators of elementary and secondary education,High Exposure,High Complementarity,HE-HC,NA
40030,6.304962693,4.184690451,0.687685185,"Managers in social, community and correctional services",High Exposure,High Complementarity,HE-HC,NA
40040,5.947886023,3.416730082,0.773888889,Commissioned police officers and related occupations in public protection services,Low Exposure,High Complementarity,LE-HC,NA
40041,5.720581295,3.147908763,0.798055556,Fire chiefs and senior firefighting officers,Low Exposure,High Complementarity,LE-HC,NA
41100,6.753844133,4.071067158,0.745555556,Judges,High Exposure,High Complementarity,HE-HC,Judges
41101,6.633534727,4.265731359,0.705277778,Lawyers and Quebec notaries,High Exposure,High Complementarity,HE-HC,Lawyers
41200,6.591753611,4.400013298,0.681151961,University professors and lecturers,High Exposure,High Complementarity,HE-HC,NA
41201,6.565268621,5.070863464,0.57625,Post-secondary teaching and research assistants,High Exposure,Low Complementarity,HE-LC,NA
41210,6.577923525,4.397325173,0.680071429,College and other vocational instructors,High Exposure,High Complementarity,HE-HC,NA
41220,6.571574886,4.337239425,0.688333333,Secondary school teachers,High Exposure,High Complementarity,HE-HC,NA
41221,6.343902776,4.108684123,0.700722222,Elementary school and kindergarten teachers,High Exposure,High Complementarity,HE-HC,NA
41300,6.48878506,4.344297117,0.678796296,Social workers,High Exposure,High Complementarity,HE-HC,NA
41301,6.477722812,4.494776498,0.655425926,Therapists in counselling and related specialized therapies,High Exposure,High Complementarity,HE-HC,NA
41302,6.668950389,4.179208911,0.721666667,Religious leaders,High Exposure,High Complementarity,HE-HC,NA
41310,6.234818757,4.023766355,0.704814815,Police investigators and other investigative occupations,High Exposure,High Complementarity,HE-HC,NA
41311,6.1394277,4.101478783,0.680277778,Probation and parole officers,High Exposure,High Complementarity,HE-HC,NA
41320,6.473582601,4.191644734,0.700833333,Educational counsellors,High Exposure,High Complementarity,HE-HC,NA
41321,6.569150282,4.555959641,0.655416667,Career development practitioners and career counsellors (except education),High Exposure,High Complementarity,HE-HC,NA
41400,6.499434183,4.621468795,0.636944444,"Natural and applied science policy researchers, consultants and program officers",High Exposure,High Complementarity,HE-HC,NA
41401,6.660172617,5.087616895,0.584444444,Economists and economic policy researchers and analysts,High Exposure,Low Complementarity,HE-LC,Economists
41402,6.677697266,5.28465542,0.556944444,Business development officers and market researchers and analysts,High Exposure,Low Complementarity,HE-LC,NA
41403,6.637994738,5.342212603,0.543333333,"Social policy researchers, consultants and program officers",High Exposure,Low Complementarity,HE-LC,NA
41404,6.427413732,4.795460963,0.605694444,"Health policy researchers, consultants and program officers",High Exposure,Low Complementarity,HE-LC,NA
41405,6.645306273,4.391439895,0.6875,"Education policy researchers, consultants and program officers",High Exposure,High Complementarity,HE-HC,NA
41406,6.595008835,5.519656005,0.511388889,"Recreation, sports and fitness policy researchers, consultants and program officers",High Exposure,Low Complementarity,HE-LC,NA
41407,6.592338725,5.471641142,0.518333333,Program officers unique to government,High Exposure,Low Complementarity,HE-LC,NA
41409,6.563945292,4.706995033,0.631888889,Other professional occupations in social science,High Exposure,High Complementarity,HE-HC,NA
42100,5.760064855,3.490125382,0.742083333,Police officers (except commissioned),Low Exposure,High Complementarity,LE-HC,NA
42101,5.676381746,3.434848883,0.743944444,Firefighters,Low Exposure,High Complementarity,LE-HC,NA
42200,6.648947041,5.385584862,0.538055556,Paralegals and related occupations,High Exposure,Low Complementarity,HE-LC,NA
42201,6.3485823,4.279757509,0.674222222,Social and community service workers,High Exposure,High Complementarity,HE-HC,NA
42202,6.048389039,4.455646592,0.611666667,Early childhood educators and assistants,High Exposure,Low Complementarity,HE-LC,NA
42203,6.254146039,3.933006025,0.720888889,Instructors of persons with disabilities,High Exposure,High Complementarity,HE-HC,NA
43109,6.422526961,4.723674415,0.613333333,Other instructors,High Exposure,High Complementarity,HE-HC,NA
43200,5.732806708,3.944183221,0.660555556,Sheriffs and bailiffs,Low Exposure,High Complementarity,LE-HC,NA
43201,5.618266032,3.753313835,0.680277778,Correctional service officers,Low Exposure,High Complementarity,LE-HC,NA
43202,5.969503326,4.459371236,0.601180556,By-law enforcement and other regulatory officers,Low Exposure,Low Complementarity,LE-LC,NA
43203,5.989408952,4.08777161,0.665833333,"Border services, customs, and immigration officers",High Exposure,High Complementarity,HE-HC,NA
44100,5.888368052,4.332676649,0.612638889,Home child care providers,Low Exposure,Low Complementarity,LE-LC,NA
44101,5.77655005,4.600380276,0.551944444,"Home support workers, caregivers and related occupations",Low Exposure,Low Complementarity,LE-LC,NA
45100,5.812465396,4.240122141,0.61875,"Student monitors, crossing guards and related occupations",Low Exposure,High Complementarity,LE-HC,NA
50010,6.471193881,4.415844889,0.667407407,"Library, archive, museum and art gallery managers",High Exposure,High Complementarity,HE-HC,NA
50011,6.484575341,4.607653991,0.638564815,"Managers - publishing, motion pictures, broadcasting and performing arts",High Exposure,High Complementarity,HE-HC,NA
50012,6.25036284,4.515055792,0.625231481,"Recreation, sports and fitness program and service directors",High Exposure,High Complementarity,HE-HC,NA
51100,6.365586874,4.517798462,0.638611111,Librarians,High Exposure,High Complementarity,HE-HC,Librarians
51101,6.1800504,4.231895951,0.662777778,Conservators and curators,High Exposure,High Complementarity,HE-HC,NA
51102,6.339542645,4.781071745,0.594166667,Archivists,High Exposure,Low Complementarity,HE-LC,NA
51110,6.543130636,4.811018554,0.613055556,Editors,High Exposure,High Complementarity,HE-HC,NA
51111,6.489752863,5.157400654,0.552962963,Authors and writers (except technical),High Exposure,Low Complementarity,HE-LC,NA
51112,6.568273856,5.371388398,0.530555556,Technical writers,High Exposure,Low Complementarity,HE-LC,Technical writers
51113,6.56755127,4.653839802,0.639722222,Journalists,High Exposure,High Complementarity,HE-HC,NA
51114,6.523049621,4.692971811,0.628888889,"Translators, terminologists and interpreters",High Exposure,High Complementarity,HE-HC,NA
51120,6.292552339,4.420683731,0.647708333,"Producers, directors, choreographers and related occupations",High Exposure,High Complementarity,HE-HC,NA
51121,6.251375838,4.642916923,0.606805556,"Conductors, composers and arrangers",High Exposure,Low Complementarity,HE-LC,NA
51122,6.019128556,5.020956403,0.514166667,Musicians and singers,High Exposure,Low Complementarity,HE-LC,Musicians
52100,6.051692512,4.888422729,0.540555556,Library and public archive technicians,High Exposure,Low Complementarity,HE-LC,NA
52110,5.83309117,4.322968678,0.607222222,Film and video camera operators,Low Exposure,Low Complementarity,LE-LC,NA
52111,6.158020763,5.242810261,0.493472222,Graphic arts technicians,High Exposure,Low Complementarity,HE-LC,NA
52112,6.089672685,4.673823785,0.580833333,Broadcast technicians,High Exposure,Low Complementarity,HE-LC,NA
52113,6.113513922,4.586557856,0.598194444,Audio and video recording technicians,High Exposure,Low Complementarity,HE-LC,NA
52114,6.417429825,4.643723526,0.624722222,Announcers and other broadcasters,High Exposure,High Complementarity,HE-HC,NA
52119,5.828815853,4.362759016,0.599861111,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",Low Exposure,Low Complementarity,LE-LC,NA
52120,6.362911254,4.828119961,0.589583333,Graphic designers and illustrators,High Exposure,Low Complementarity,HE-LC,NA
52121,6.540182749,4.536343423,0.654722222,Interior designers and interior decorators,High Exposure,High Complementarity,HE-HC,NA
53100,5.993465673,4.265349737,0.636666667,"Registrars, restorers, interpreters and other occupations related to museum and art galleries",High Exposure,High Complementarity,HE-HC,NA
53110,5.946157338,4.365470512,0.614166667,Photographers,Low Exposure,High Complementarity,LE-HC,Photographers
53111,5.761055988,4.44213515,0.579513889,"Motion pictures, broadcasting, photography and performing arts assistants and operators",Low Exposure,Low Complementarity,LE-LC,NA
53120,4.83117283,3.705241162,0.581388889,Dancers,Low Exposure,Low Complementarity,LE-LC,Dancers
53121,5.790803512,4.843188694,0.507638889,"Actors, comedians and circus performers",Low Exposure,Low Complementarity,LE-LC,NA
